Statistic Label,Area of Residence,ICD 10 Diagnostic Group,Year,UNIT,VALUE
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.3
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.27
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.26
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.31
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Midland,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2007,No. per 1000 Pop.,1.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2008,No. per 1000 Pop.,2.15
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2009,No. per 1000 Pop.,1.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2010,No. per 1000 Pop.,1.79
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2011,No. per 1000 Pop.,1.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2012,No. per 1000 Pop.,1.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2013,No. per 1000 Pop.,1.78
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2014,No. per 1000 Pop.,1.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2015,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2016,No. per 1000 Pop.,1.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.21
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2008,No. per 1000 Pop.,2.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2009,No. per 1000 Pop.,2.13
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2010,No. per 1000 Pop.,2.11
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2011,No. per 1000 Pop.,1.97
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2012,No. per 1000 Pop.,2.02
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2013,No. per 1000 Pop.,2.11
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.71
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.95
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.7
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.76
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2012,No. per 1000 Pop.,0.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2013,No. per 1000 Pop.,0.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2014,No. per 1000 Pop.,0.76
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2015,No. per 1000 Pop.,0.82
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2016,No. per 1000 Pop.,0.8
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,Diseases of the respiratory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2007,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2008,No. per 1000 Pop.,0.41
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2009,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2010,No. per 1000 Pop.,0.36
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2011,No. per 1000 Pop.,0.37
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2012,No. per 1000 Pop.,0.38
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2013,No. per 1000 Pop.,0.35
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2014,No. per 1000 Pop.,0.4
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2015,No. per 1000 Pop.,0.33
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2016,No. per 1000 Pop.,0.32
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",West,External causes of injury and poisoning,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2007,No. per 1000 Pop.,1.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2008,No. per 1000 Pop.,1.85
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2009,No. per 1000 Pop.,2.04
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2010,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2011,No. per 1000 Pop.,2.04
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2012,No. per 1000 Pop.,2.01
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2013,No. per 1000 Pop.,2.01
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2014,No. per 1000 Pop.,2.07
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2015,No. per 1000 Pop.,1.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2016,No. per 1000 Pop.,1.98
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Neoplasms,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2007,No. per 1000 Pop.,2.16
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2008,No. per 1000 Pop.,1.93
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2009,No. per 1000 Pop.,1.94
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2010,No. per 1000 Pop.,1.96
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2011,No. per 1000 Pop.,1.89
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2012,No. per 1000 Pop.,1.9
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2013,No. per 1000 Pop.,1.83
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2014,No. per 1000 Pop.,1.75
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2015,No. per 1000 Pop.,1.88
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2016,No. per 1000 Pop.,1.68
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the circulatory system,2017,No. per 1000 Pop.,
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the respiratory system,2007,No. per 1000 Pop.,0.77
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the respiratory system,2008,No. per 1000 Pop.,0.74
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the respiratory system,2009,No. per 1000 Pop.,0.84
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the respiratory system,2010,No. per 1000 Pop.,0.72
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Dublin,Diseases of the respiratory system,2011,No. per 1000 Pop.,0.75
